Nazwa,Lokalizacja,Paliwo,Rok,Cena,Przebieg,Pojemnosc,marka,model
Renault Trafic ENERGY 1.6 dCi 120 Start & Stop Combi L1H1 Expression,Wrocław,Diesel,2015,59901,186000,1598,Renault,Trafic
Audi A8 3.0 TDI Quattro,Grudziądz,Diesel,2011,93990,205291,2967,Audi,A8
Toyota Yaris 1.33 VVT-i Cool,Bełchatów,Benzyna,2009,18900,215952,1329,Toyota,Yaris
Volkswagen Passat 1.6 TDI DPF BlueMot Highline,Rzeszów,Diesel,2011,33000,220000,1598,Volkswagen,Passat
Opel Astra VI 1.2 T Elegance S&S,Warszawa,Benzyna,2023,121000,10,1199,Opel,Astra
Mercedes-Benz Klasa A 180 7G-DCT Urban,Gdynia,Benzyna,2017,77500,56000,1595,Mercedes-Benz,0
Toyota Corolla,Kraków,Hybryda,2020,97900,127922,1798,Toyota,Corolla
Audi A7 55 TFSI mHEV Quattro S tronic,Wrocław,Benzyna,2018,227900,146900,2995,Audi,A7
Lexus LS 400,Brzesko,Benzyna+LPG,1993,30000,188000,3969,Lexus,0
Peugeot 307,Olkusz,Benzyna+LPG,2004,10500,280000,1587,Peugeot,307
Audi A6 55 TFSI GPF mHEV Quattro Sport S tronic,Toruń,Benzyna,2019,110000,37000,2995,Audi,A6
Mercedes-Benz CLK 320,Radom,Benzyna+LPG,2002,27100,181482,3199,Mercedes-Benz,0
Volvo V40 D2 Drive-E Momentum,Mysłowice,Diesel,2015,46900,234000,1969,Volvo,V40
Volkswagen Tiguan,Toruń,Hybryda,2023,210510,1,1395,Volkswagen,Tiguan
Subaru Forester 2.0 X,Olsztyn,Benzyna+LPG,2004,6000,260367,1994,Subaru,Forester
Renault Captur 0.9 Energy TCe Limited,Sławków,Benzyna,2015,45900,86000,898,Renault,Captur
Opel Meriva,Poznań,Benzyna,2006,8500,226599,1364,Opel,Meriva
Ford EDGE,Kutno,Diesel,2019,99800,36500,1997,Ford,0
Audi A4 Avant 1.9 TDI,Nowy Dwór Mazowiecki,Diesel,2004,11500,323630,1896,Audi,A4
Toyota C-HR,Kraków,Hybryda,2017,99900,41816,1797,Toyota,C-HR
Toyota Corolla,Kraków,Hybryda,2020,89900,92060,1798,Toyota,Corolla
Jeep Compass 2.0 MJD Limited 4WD S&S,Poznań,Diesel,2017,85700,139000,1956,Jeep,Compass
Renault Megane 1.5 dCi Dynamique,Gdańsk,Diesel,2010,19400,164000,1461,Renault,Megane
Opel Mokka X 1.4 T Elite S&S,Łajski,Benzyna,2017,66500,107979,1364,Opel,Mokka
Volkswagen Passat 1.4 TSI BMT ACT Comfortline,Łajski,Benzyna,2016,63900,159682,1395,Volkswagen,Passat
Kia Sportage,Łajski,Benzyna+LPG,2015,59000,141818,1591,Kia,Sportage
Dodge Journey,Elbląg,Diesel,2010,31900,168310,1968,Dodge,Journey
Hyundai ix35,Łajski,Benzyna,2013,48900,137008,1591,Hyundai,ix35
