Nazwa,Lokalizacja,Paliwo,Rok,Cena,Przebieg,Pojemnosc,marka,model
Volkswagen Golf 1.6 TDI SCR Comfortline,Nowy Sącz,Diesel,2018,68000,80000,1598,Volkswagen,Golf
Ford Focus,Rataje,Benzyna,2011,24900,174000,1596,Ford,Focus
BMW Seria 5 520d Efficient Dynamics,Tczew,Diesel,2010,44900,253363,1995,BMW,Seria 5
Kia Ceed 1.0 T-GDI S,Lublin,Benzyna,2020,57900,42722,998,Kia,Ceed
MINI Cooper S,Gdańsk,Benzyna,2021,149900,30178,1998,MINI,0
Ford Kuga 1.5 EcoBoost FWD Titanium ASS,Nowe Miasto Lubawskie,Benzyna,2017,69900,88500,,Ford,Kuga
Fiat 500 1.0 GSE Hybrid Club,Kazimierów,Benzyna,2022,60000,6177,,Fiat,500
Renault Megane II 1.6 16V Authentique,Bydgoszcz,Benzyna,2008,7499,181000,,Renault,Megane
Skoda Octavia 1.5 TSI GPF ACT Ambition DSG,Warszawa,Benzyna,2020,75900,72274,1498,Skoda,Octavia
Volkswagen Golf,Warszawa,Benzyna,2019,76799,82977,1498,Volkswagen,Golf
Skoda Superb,Częstochowa,Benzyna,2023,237500,1,1400,Skoda,Superb
Fiat Doblo,Bydgoszcz,Benzyna,2005,3000,239921,,Fiat,Doblo
Ford Ranger 3.2 TDCi 4x4 DC Wildtrak,Zakrzewo,Diesel,2017,149000,98500,,Ford,Ranger
Volvo V40 D2 Drive-E Momentum,Proszowice,Diesel,2018,64000,112389,,Volvo,V40
Mazda 3 1.6 Active,Owczary,Benzyna+LPG,2007,12000,180952,1598,Mazda,3
Renault Captur,Warszawa,Benzyna,2023,110600,101607,1332,Renault,Captur
Volkswagen Golf VII 1.6 TDI BMT Comfortline,Warszawa,Diesel,2019,71900,1,1598,Volkswagen,Golf
Skoda Superb,Częstochowa,Benzyna,2023,206400,69840,1400,Skoda,Superb
Skoda Karoq 1.6 TDI SCR 4x2 Style,Rzeszów,Diesel,2019,108000,72274,1598,Skoda,Karoq
Mitsubishi Outlander PHEV Instyle NAVI,Bystrzyca Kłodzka,Hybryda,2014,59900,239000,1998,Mitsubishi,Outlander
Peugeot 207 1.6 Trendy,Nowy Staw,Benzyna,2007,11900,66372,1598,Peugeot,207
Audi Q3,Łódź,Benzyna,2020,119900,185000,1498,Audi,Q3
Skoda Superb 2.0 TSI Ambition DSG,Elbląg,Benzyna,2020,99900,199000,1984,Skoda,Superb
Volkswagen Golf,Gdańsk,Benzyna,2005,9900,214000,1390,Volkswagen,Golf
Ford C-MAX 1.6 TDCi Start-Stop-System Titanium,Płock,Diesel,2011,32900,188443,1560,Ford,C-MAX
Volkswagen Touran 1.6 TDI DPF Cup,Dąbrówka,Diesel,2011,36900,121000,1598,Volkswagen,Touran
Seat Leon,Wrocław,Benzyna,2012,26400,270521,1197,Seat,Leon
Citroën Berlingo,Syców,Benzyna,2005,8800,84700,1587,Citroën,Berlingo
Ford KA,Trzemeszno,Benzyna,2017,32999,209923,1198,Ford,0
Volkswagen Passat,Dąbrówka,Benzyna,2013,42900,234500,1390,Volkswagen,Passat
Audi A5 2.0 TDI,Warszawa,Diesel,2011,54900,210000,1968,Audi,A5
Hyundai ix35 2.0 CRDi Premium 4WD,Świdnica,Diesel,2015,53900,94970,1995,Hyundai,ix35
Renault Koleos 1.6 dCi Intens,Szczecin,Diesel,2018,84900,1000,1598,Renault,Koleos
Alfa Romeo Stelvio,Zielona Góra,Benzyna,2022,243000,77000,1995,Alfa Romeo,0
Audi A6 3.0 TDI Quattro S tronic,Szczecinek,Diesel,2018,153750,241903,2967,Audi,A6
Skoda Superb 2.0 TSI Style DSG,Sosnowiec,Benzyna,2018,74900,5,1984,Skoda,Superb
MINI Countryman Cooper S,Poznań,Benzyna,2023,192000,167000,1998,MINI,0
Kia Ceed Cee'd 1.4 CRDi S,Aleksandrów Łódzki,Diesel,2017,34000,141491,1396,Kia,Ceed
Peugeot Rifter 1.5 BlueHDI Active,Modlnica,Diesel,2019,71850,108000,1499,Peugeot,Rifter
Audi Q5 2.0 TDI Quattro Sport S tronic,Wieruszów,Diesel,2016,119900,134000,1968,Audi,Q5
Renault Grand Scenic Gr 1.5 dCi Energy Limited EU6,Lenartowice,Diesel,2017,59900,70000,1461,Renault,0
Volkswagen Golf,Wieliczka,Benzyna,2017,60000,251000,999,Volkswagen,Golf
Peugeot 508 RXH Hybrid4,Zamość,Hybryda,2012,26900,85000,1997,Peugeot,508
Volkswagen Tiguan,Wrocław,Benzyna,2020,102900,206000,1498,Volkswagen,Tiguan
Audi A4 1.8 TFSI,Dąbrówka,Benzyna,2008,31900,10,1798,Audi,A4
Kia Sportage 1.6 T-GDI M 2WD,Opole,Benzyna,2023,126474,104000,1598,Kia,Sportage
Toyota Auris 1.6 VVT-i Prestige,Wilkowice,Benzyna,2006,25999,5,1598,Toyota,Auris
Toyota Proace Verso,Kraków,Diesel,2022,178900,63000,1997,Toyota,Proace
BMW X2 sDrive20i Advantage sport,Zamość,Benzyna,2019,116900,108100,1998,BMW,X2
Volkswagen Golf IV 1.4 16V Comfortline,Gniezno,Benzyna,2005,14800,199341,1390,Volkswagen,Golf
Nissan Qashqai 1.5 dCi Tekna,Olsztyn,Diesel,2013,37800,42000,1461,Nissan,Qashqai
Dacia Duster 1.6 SCe Prestige,Gniezno,Benzyna,2020,65800,87000,1598,Dacia,Duster
Dacia Duster 1.2 TCe Prestige 4WD,Gniezno,Benzyna,2018,64800,64000,1197,Dacia,Duster
Volkswagen Tiguan 2.0 TSI BMT 4Mot Highline DSG,Myszków,Benzyna,2018,139000,200000,1984,Volkswagen,Tiguan
Renault Twingo SCe 70 LIMITED,Gniezno,Benzyna,2015,22800,12100,999,Renault,Twingo
BMW X3,Janki,Benzyna,2022,239900,245500,1995,BMW,X3
Toyota Avensis 2.0 Prestige MS,Kobylanka,Benzyna,2016,64900,82700,1987,Toyota,Avensis
BMW Seria 5 520d xDrive M Sport sport,Warszawa,Diesel,2017,159900,49209,1995,BMW,Seria 5
Seat Ateca 1.5 TSI Style S&S,Gdańsk,Benzyna,2021,108900,26500,1498,Seat,Ateca
Kia XCeed 1.5 T-GDI M,Katowice,Benzyna,2022,96900,190726,1482,Kia,0
Ford C-MAX 1.6 TDCi Start-Stop-System Titanium,Płock,Diesel,2011,32900,121000,1390,Ford,C-MAX
Seat Leon,Wrocław,Benzyna,2012,26400,270521,1968,Seat,Leon
Citroën Berlingo,Syców,Benzyna,2005,8800,84700,1995,Citroën,Berlingo
Ford KA,Trzemeszno,Benzyna,2017,32999,209923,1598,Ford,0
Volkswagen Passat,Dąbrówka,Benzyna,2013,42900,234500,1995,Volkswagen,Passat
Audi A5 2.0 TDI,Warszawa,Diesel,2011,54900,210000,2967,Audi,A5
Hyundai ix35 2.0 CRDi Premium 4WD,Świdnica,Diesel,2015,53900,94970,1984,Hyundai,ix35
Renault Koleos 1.6 dCi Intens,Szczecin,Diesel,2018,84900,1000,1998,Renault,Koleos
Alfa Romeo Stelvio,Zielona Góra,Benzyna,2022,243000,77000,1396,Alfa Romeo,0
Audi A6 3.0 TDI Quattro S tronic,Szczecinek,Diesel,2018,153750,241903,,Audi,A6
Skoda Superb 2.0 TSI Style DSG,Sosnowiec,Benzyna,2018,74900,5,,Skoda,Superb
MINI Countryman Cooper S,Poznań,Benzyna,2023,192000,167000,,MINI,0
DS Automobiles DS 4,Warszawa,Benzyna,2023,169900,5,998,DS,0
Seat Leon 1.6 TDI DPF Reference Copa,Radom,Diesel,2012,24900,198712,1598,Seat,Leon
Toyota Yaris,Wdowin,Benzyna,2007,13300,225000,1498,Toyota,Yaris
Alfa Romeo Stelvio,Zielona Góra,Benzyna,2022,243000,77000,1499,Alfa Romeo,0
MINI Countryman Cooper S,Poznań,Benzyna,2023,192000,141491,,MINI,0
Audi Q3,Łódź,Benzyna,2020,119900,185000,1598,Audi,Q3
Skoda Superb 2.0 TSI Ambition DSG,Elbląg,Benzyna,2020,99900,214000,1197,Skoda,Superb
Ford C-MAX 1.6 TDCi Start-Stop-System Titanium,Płock,Diesel,2011,32900,199000,1587,Ford,C-MAX
Volkswagen Golf,Gdańsk,Benzyna,2005,9900,188443,1198,Volkswagen,Golf
Volkswagen Touran 1.6 TDI DPF Cup,Dąbrówka,Diesel,2011,36900,121000,1390,Volkswagen,Touran
Peugeot 207 1.6 Trendy,Nowy Staw,Benzyna,2007,11900,66372,1560,Peugeot,207
Skoda Superb 2.0 TSI Ambition DSG,Elbląg,Benzyna,2020,99900,199000,1197,Skoda,Superb
Volkswagen Golf,Gdańsk,Benzyna,2005,9900,214000,1587,Volkswagen,Golf
Ford C-MAX 1.6 TDCi Start-Stop-System Titanium,Płock,Diesel,2011,32900,188443,1198,Ford,C-MAX
Audi Q3,Łódź,Benzyna,2020,119900,185000,1390,Audi,Q3
Ford C-MAX 1.6 TDCi Start-Stop-System Titanium,Płock,Diesel,2011,32900,188443,1587,Ford,C-MAX
Volkswagen Touran 1.6 TDI DPF Cup,Dąbrówka,Diesel,2011,36900,199000,1198,Volkswagen,Touran
Volkswagen Golf,Gdańsk,Benzyna,2005,9900,121000,1390,Volkswagen,Golf
Volkswagen Touran 1.6 TDI DPF Cup,Dąbrówka,Diesel,2011,36900,214000,1587,Volkswagen,Touran
Ford C-MAX 1.6 TDCi Start-Stop-System Titanium,Płock,Diesel,2011,32900,199000,1198,Ford,C-MAX
Volkswagen Golf,Gdańsk,Benzyna,2005,9900,188443,1587,Volkswagen,Golf
Volkswagen Touran 1.6 TDI DPF Cup,Dąbrówka,Diesel,2011,36900,214000,1198,Volkswagen,Touran
Alfa Romeo Stelvio,Zielona Góra,Benzyna,2022,243000,77000,,Alfa Romeo,0
Renault Koleos 1.6 dCi Intens,Szczecin,Diesel,2018,84900,1000,,Renault,Koleos
Renault Clio,Warszawa,Benzyna+LPG,2023,90200,106000,999,Renault,Clio
Audi Q5 2.0 TFSI quattro S tronic,Strzelin,Benzyna,2012,67250,1,1984,Audi,Q5
Citroën C3 Picasso 1.4i Selection,Bydgoszcz,Benzyna,2012,27999,257000,1397,Citroën,C3
Volvo S40 1.6D DRIVe,Częstochowa,Diesel,2009,19700,48663,1560,Volvo,S40
Buick Regal,Bydgoszcz,Benzyna,1987,170000,1000,3791,Pozostałe,0
Toyota Land Cruiser 4.0 Sol,Legionowo,Benzyna+LPG,2004,75000,27000,3956,Toyota,0
Mercedes-Benz CL,Wrocław,Benzyna,2007,159000,16000,5461,Mercedes-Benz,0
Volkswagen T-Roc,Warszawa,Benzyna,2020,105000,73500,1498,Volkswagen,T-Roc
Jeep Grand Cherokee,Mścice,Benzyna,2019,159000,191700,5700,Jeep,0
Kia Ceed Cee'd 1.4 CRDi L,Lubsko,Diesel,2013,32500,101728,1396,Kia,Ceed
Skoda Octavia 1.8 TSI Style DSG,Zabrze,Benzyna,2018,73900,70000,1798,Skoda,Octavia
Audi A5 40 TFSI mHEV S tronic,Bodzentyn,Benzyna,2020,139000,239000,1984,Audi,A5
Mercedes-Benz Klasa C 180 T CGI Automatik BlueEFFICIENCY Avantgarde,Stargard Szczeciński,Benzyna,2007,28900,198000,1796,Mercedes-Benz,0
Citroën Berlingo,Dębe Wielkie,Diesel,2013,24900,270000,1560,Citroën,Berlingo
Audi A3 2.0 TDI DPF Quattro Ambition,Limanowa,Diesel,2010,44500,100000,1968,Audi,A3
Citroën C4 Cactus 1.2 PureTech Shine S&S,Zgierz,Benzyna,2015,35000,181491,1199,Citroën,C4
Nissan Note,Chmielnik,Benzyna,2009,17300,1094,1400,Nissan,Note
Kia Stonic 1.0 T-GDI L Business Line,Piła,Benzyna,2022,91100,225501,998,Kia,Stonic
Audi A5 2.0 TFSI Sportback,Lubichowo,Benzyna,2011,49900,69000,1984,Audi,A5
Skoda Superb 1.4 TSI Plug-In Hybrid Sportline DSG,Słupsk,Hybryda,2020,149000,33000,1395,Skoda,Superb
Volkswagen Polo 1.0 TSI OPF UNITED,Pleszew,Benzyna,2021,26900,115000,999,Volkswagen,Polo
Nissan Juke 1.6 Shiro S&S,Nowe,Benzyna,2014,43900,11000,1598,Nissan,Juke
Hyundai I30 1.5 T-GDI 48V Smart DCT,Grójec,Benzyna,2022,99900,139000,1482,Smart,0
BMW Seria 3 316d Advantage,Morzyczyn,Diesel,2017,65900,300,1995,BMW,Seria 3
Audi A5 2.0 TFSI Sportback,Augustów,Benzyna,2010,45000,95165,1560,Audi,A5
Opel Combo,Warszawa,Diesel,2018,60024,49715,998,Opel,Combo
Toyota Yaris,Modlnica,Benzyna,2021,76850,5,1598,Toyota,Yaris
Hyundai I30 1.5 T-GDI 48V Smart DCT,Grójec,Benzyna,2022,99900,11000,1482,Smart,0
BMW Seria 3 316d Advantage,Morzyczyn,Diesel,2017,65900,139000,1995,BMW,Seria 3
Audi A5 2.0 TFSI Sportback,Augustów,Benzyna,2010,45000,209000,1560,Audi,A5
Opel Combo,Warszawa,Diesel,2018,60024,95165,998,Opel,Combo
Toyota Yaris,Modlnica,Benzyna,2021,76850,49715,1598,Toyota,Yaris
DS Automobiles DS 4 1.6 E-Tense Rivoli,Gdańsk,Hybryda,2023,249758,5,1490,DS,0
Toyota Corolla 1.5 Comfort MS,Modlnica,Benzyna,2022,99850,14934,1197,Toyota,Corolla
Honda HR-V,Warszawa,Hybryda,2023,144900,10,1993,Honda,HR-V
Nissan Qashqai 1.2 DIG-T Acenta EU6,Bielsko-Biała,Benzyna,2016,62900,95300,1998,Nissan,Qashqai
BMW Seria 5 520i mHEV M Sport sport,Częstochowa,Benzyna,2022,219000,9800,1498,BMW,Seria 5
Audi A3 1.5 TFSI Sport S tronic,Wrocław,Benzyna,2018,99900,49500,1998,Audi,A3
Seat Leon 1.5 eTSI FR DSG,Warszawa,Benzyna,2020,107900,47398,1998,Seat,Leon
Mazda CX-30 2.0 mHEV Hikari 2WD,Zielona Góra,Benzyna,2022,158200,4,4999,Mazda,CX-30
Mercedes-Benz CLS 400 d 4-Matic 9G-TRONIC,Wyszków,Diesel,2018,217710,145000,1984,Mercedes-Benz,0
Ford S-Max 2.0 TDCi DPF Titanium,Świdnica,Diesel,2014,41500,191031,1582,Ford,0
Audi A4 Avant 2.0,Ruda Maleniecka,Benzyna,2001,11500,209000,1499,Audi,A4
Hyundai I30 1.6 CRDi Classic,Lubsko,Diesel,2012,32900,192500,1498,Hyundai,0
Peugeot 3008,Strzałkowo,Diesel,2018,82900,99558,1332,Peugeot,3008
Volkswagen Taigo 1.5 TSI R-Line DSG,Gorzów Wielkopolski,Benzyna,2023,148980,1,1199,Volkswagen,0
Renault Clio 1.3 TCe Techno,Olsztyn,Benzyna,2023,98500,10,,Renault,Clio
Skoda Enyaq 80 Founders,Gdynia,Elektryczny,2021,239000,15377,,Skoda,0
Skoda Enyaq 60,Kalisz,Elektryczny,2022,215350,5,,Skoda,0
DS Automobiles DS 4,Warszawa,Benzyna,2023,169900,5,,DS,0
Volvo XC 70,Warszawa,Benzyna,2008,39000,273000,3192,Volvo,0
Audi A4 Cabriolet 2.4 Multitronic,Brzozowiec,Benzyna,2003,19800,220140,1968,Audi,A4
Volkswagen Tiguan,Dąbrówka,Diesel,2014,65900,180953,1798,Volkswagen,Tiguan
Audi A4 1.8 TFSI,Dąbrówka,Benzyna,2010,39900,199780,1998,Audi,A4
BMW Seria 3 318i,Dąbrówka,Benzyna,2008,25900,168057,1995,BMW,Seria 3
BMW Seria 5 530d Touring,Dąbrówka,Diesel,2012,67900,172212,1499,BMW,Seria 5
Volkswagen ID.3,Libertów,Elektryczny,2020,144400,15639,1397,Volkswagen,0
Renault Clio,Warszawa,Benzyna+LPG,2023,90200,79000,1984,Renault,Clio
Citroën C3 Picasso 1.4i Selection,Bydgoszcz,Benzyna,2012,27999,106000,1950,Citroën,C3
Audi Q5 2.0 TFSI quattro S tronic,Strzelin,Benzyna,2012,67250,1,1560,Audi,Q5
Volvo S40 1.6D DRIVe,Częstochowa,Diesel,2009,19700,48663,1995,Volvo,S40
Buick Regal,Bydgoszcz,Benzyna,1987,170000,1000,3956,Pozostałe,0
Toyota Land Cruiser 4.0 Sol,Legionowo,Benzyna+LPG,2004,75000,27000,1498,Toyota,0
Mercedes-Benz CL,Wrocław,Benzyna,2007,159000,16000,5700,Mercedes-Benz,0
Volkswagen T-Roc,Warszawa,Benzyna,2020,105000,73500,1396,Volkswagen,T-Roc
Jeep Grand Cherokee,Mścice,Benzyna,2019,159000,191700,1798,Jeep,0
Kia Ceed Cee'd 1.4 CRDi L,Lubsko,Diesel,2013,32500,101728,,Kia,Ceed
Buick Regal,Bydgoszcz,Benzyna,1987,170000,48663,3791,Pozostałe,0
Mercedes-Benz CL,Wrocław,Benzyna,2007,159000,27000,5461,Mercedes-Benz,0
Volkswagen T-Roc,Warszawa,Benzyna,2020,105000,16000,1498,Volkswagen,T-Roc
Jeep Grand Cherokee,Mścice,Benzyna,2019,159000,73500,5700,Jeep,0
Kia Ceed Cee'd 1.4 CRDi L,Lubsko,Diesel,2013,32500,191700,1396,Kia,Ceed
Skoda Octavia 1.8 TSI Style DSG,Zabrze,Benzyna,2018,73900,101728,1798,Skoda,Octavia
Audi A5 40 TFSI mHEV S tronic,Bodzentyn,Benzyna,2020,139000,70000,1984,Audi,A5
Mercedes-Benz Klasa C 180 T CGI Automatik BlueEFFICIENCY Avantgarde,Stargard Szczeciński,Benzyna,2007,28900,239000,1796,Mercedes-Benz,0
Citroën Berlingo,Dębe Wielkie,Diesel,2013,24900,198000,1560,Citroën,Berlingo
Audi A3 2.0 TDI DPF Quattro Ambition,Limanowa,Diesel,2010,44500,270000,1968,Audi,A3
Citroën C4 Cactus 1.2 PureTech Shine S&S,Zgierz,Benzyna,2015,35000,100000,1199,Citroën,C4
Nissan Note,Chmielnik,Benzyna,2009,17300,181491,1400,Nissan,Note
Kia Stonic 1.0 T-GDI L Business Line,Piła,Benzyna,2022,91100,1094,998,Kia,Stonic
Audi A5 2.0 TFSI Sportback,Lubichowo,Benzyna,2011,49900,225501,1984,Audi,A5
Skoda Superb 1.4 TSI Plug-In Hybrid Sportline DSG,Słupsk,Hybryda,2020,149000,69000,1395,Skoda,Superb
Volkswagen Polo 1.0 TSI OPF UNITED,Pleszew,Benzyna,2021,26900,33000,999,Volkswagen,Polo
Nissan Juke 1.6 Shiro S&S,Nowe,Benzyna,2014,43900,115000,1598,Nissan,Juke
Toyota Corolla 1.5 Comfort MS,Modlnica,Benzyna,2022,99850,14934,1993,Toyota,Corolla
Nissan Qashqai 1.2 DIG-T Acenta EU6,Bielsko-Biała,Benzyna,2016,62900,95300,1498,Nissan,Qashqai
Honda HR-V,Warszawa,Hybryda,2023,144900,10,,Honda,HR-V
BMW Seria 5 520i mHEV M Sport sport,Częstochowa,Benzyna,2022,219000,9800,,BMW,Seria 5
Honda HR-V,Warszawa,Hybryda,2023,144900,10,1498,Honda,HR-V
Renault Clio 1.3 TCe Techno,Olsztyn,Benzyna,2023,98500,10,1998,Renault,Clio
Skoda Enyaq 80 Founders,Gdynia,Elektryczny,2021,239000,15377,1469,Skoda,0
BMW Seria 5,Mikołów,Hybryda,2019,149900,106546,,BMW,Seria 5
Jeep Renegade 1.5 T4 mHEV Limited FWD S&S DCT,Gdańsk,Benzyna,2023,141900,1,,Jeep,Renegade
Kia Ceed Cee'd 1.4 CRDi L,Lubsko,Diesel,2013,32500,101728,1984,Kia,Ceed
Skoda Octavia 1.8 TSI Style DSG,Zabrze,Benzyna,2018,73900,70000,,Skoda,Octavia
Citroën C3 Picasso 1.4i Selection,Bydgoszcz,Benzyna,2012,27999,79000,1397,Citroën,C3
Audi Q5 2.0 TFSI quattro S tronic,Strzelin,Benzyna,2012,67250,106000,1984,Audi,Q5
Volvo S40 1.6D DRIVe,Częstochowa,Diesel,2009,19700,257000,1560,Volvo,S40
Toyota Corolla 1.5 Comfort MS,Modlnica,Benzyna,2022,99850,14934,,Toyota,Corolla
Toyota RAV4,Dąbrówka,Diesel,2013,65900,214703,1798,Toyota,RAV4
Renault Clio,Warszawa,Benzyna+LPG,2023,90200,79000,1950,Renault,Clio
Citroën C3 Picasso 1.4i Selection,Bydgoszcz,Benzyna,2012,27999,1,1984,Citroën,C3
Audi Q5 2.0 TFSI quattro S tronic,Strzelin,Benzyna,2012,67250,257000,3791,Audi,Q5
Volvo S40 1.6D DRIVe,Częstochowa,Diesel,2009,19700,48663,3956,Volvo,S40
Toyota Land Cruiser 4.0 Sol,Legionowo,Benzyna+LPG,2004,75000,1000,5461,Toyota,0
Alfa Romeo Stelvio,Zielona Góra,Benzyna,2022,243000,27000,1498,Alfa Romeo,0
Dacia Sandero Stepway 1.5 Blue dCi Laureate S&S,Wągrowiec,Diesel,2019,42800,39000,2393,Dacia,Sandero
Audi A4 Cabriolet 2.4 Multitronic,Brzozowiec,Benzyna,2003,19800,220140,1390,Audi,A4
Volkswagen Tiguan 1.4 TSI 4Mot Sport&Style,Dąbrówka,Benzyna,2008,35900,202965,1998,Volkswagen,Tiguan
Toyota RAV4,Dąbrówka,Diesel,2013,65900,214703,,Toyota,RAV4
Nissan Qashqai 1.2 DIG-T Acenta EU6,Bielsko-Biała,Benzyna,2016,62900,95300,,Nissan,Qashqai
Volkswagen Tiguan,Dąbrówka,Diesel,2014,65900,180953,,Volkswagen,Tiguan
Audi A4 1.8 TFSI,Dąbrówka,Benzyna,2010,39900,199780,,Audi,A4
Volkswagen Tiguan 1.4 TSI 4Mot Sport&Style,Dąbrówka,Benzyna,2008,35900,202965,1798,Volkswagen,Tiguan
Fiat 500 C 1.2 8V Pop,Sosnowiec,Benzyna,2013,25500,81300,1242,Fiat,500
Audi A4 Cabriolet 2.4 Multitronic,Brzozowiec,Benzyna,2003,19800,220140,,Audi,A4
Volkswagen Tiguan 1.4 TSI 4Mot Sport&Style,Dąbrówka,Benzyna,2008,35900,202965,,Volkswagen,Tiguan
Kia Niro e-Niro 64kWh M,Szczecin,Elektryczny,2021,139900,6358,1496,Kia,Niro
Mazda 2,Ławki,Benzyna,2018,43900,31400,1461,Mazda,2
Volkswagen Passat,Sosnowiec,Diesel,2019,99800,107525,1968,Volkswagen,Passat
Land Rover Discovery Sport,Ciemne,Benzyna,2016,39800,59914,1997,Rover,Discovery
Volkswagen Passat,Sosnowiec,Diesel,2019,99800,107525,652,Volkswagen,Passat
Fiat 126,Warszawa,Benzyna,1998,14000,62745,1798,Fiat,0
Toyota C-HR,Mościska,Hybryda,2019,97900,70328,1499,Toyota,C-HR
Peugeot 208 1.5 BlueHDi Active S&S,Kobierzyce,Diesel,2019,36500,108000,1968,Peugeot,208
Volkswagen Tiguan 2.0 TDI BlueMot Trend&Fun,Ostrołęka,Diesel,2009,36900,238500,1149,Volkswagen,Tiguan
Renault Twingo 1.2 Pack,Słupsk,Benzyna,2000,4800,230524,1910,Renault,Twingo
Opel Vectra 1.9 CDTI Elegance,Gdańsk,Diesel,2005,7900,290000,999,Opel,Vectra
Volkswagen Golf VIII 1.0 TSI Life,Lesznowola,Benzyna,2022,103800,450,1193,Volkswagen,Golf
Mitsubishi Space Star 1.2 Inform,Opole,Benzyna,2022,57990,5,1753,Mitsubishi,0
Ford S-Max 1.8 TDCi Ambiente,Lesznowola,Diesel,2007,18800,243332,1582,Ford,0
Kia Ceed 1.6 CRDi SCR L,Lesznowola,Diesel,2019,57800,149958,1995,Kia,Ceed
BMW X1 xDrive20d,Krosno,Diesel,2010,37000,222000,1198,BMW,X1
Skoda Fabia 1.2 12V Comfort,Ostrołęka,Benzyna,2011,16900,209000,2993,Skoda,Fabia
BMW Seria 7 730d,Londyn,Diesel,2006,19999,300000,1968,BMW,Seria 7
Volkswagen Golf Alltrack 2.0 TDI 4Mot DSG,Łódź,Diesel,2022,159900,23900,1582,Volkswagen,Golf
Hyundai I30 1.6 CRDi Base,Dąbrówka,Diesel,2010,24900,240338,1984,Hyundai,0
Audi A4 Avant 2.0,Dąbrówka,Benzyna,2005,23900,243023,1461,Audi,A4
Renault Scenic 1.5 dCi Tech Run,Dąbrówka,Diesel,2011,28900,168473,,Renault,Scenic
Dacia Spring,Września,Elektryczny,2021,69900,7000,1597,Dacia,0
Dacia Spring,Września,Elektryczny,2021,69900,7000,1997,Dacia,0
Land Rover Discovery Sport,Ciemne,Benzyna,2016,39800,59914,2995,Rover,Discovery
Audi A4 Avant 2.0,Dąbrówka,Benzyna,2005,23900,243023,,Audi,A4
Kia XCeed 1.5 T-GDI Prestige Line DCT,Olkusz,Benzyna,2021,118900,30000,1149,Kia,0
Hyundai I30 1.6 CRDi Base,Dąbrówka,Diesel,2010,24900,240338,,Hyundai,0
Renault Scenic 1.5 dCi Tech Run,Dąbrówka,Diesel,2011,28900,168473,1798,Renault,Scenic
Toyota Corolla,Stalowa Wola,Hybryda,2019,88400,159500,,Toyota,Corolla
Kia Rio 1.2 M,Długołęka,Benzyna,2023,69900,8,2993,Kia,Rio
BMW Seria 7 750d xDrive,Broniszewice,Diesel,2016,225000,175000,2967,BMW,Seria 7
Volkswagen Touran,Wągrowiec,Diesel,2015,57900,141000,1598,Volkswagen,Touran
Toyota Celica 1.6 STi,Andrychów,Benzyna,1991,9900,264000,1587,Toyota,Celica
Fiat Bravo 1.6 Multijet 16V Active,Lesznowola,Diesel,2014,21800,253746,1598,Fiat,Bravo
Opel Signum,Płock,Benzyna+LPG,2006,4900,251506,1796,Opel,Signum
Mercedes-Benz Klasa E 350 Cabrio BlueEFFICIENCY 7G-TRONIC Elegance,Garbów I,Benzyna,2014,99999,81000,3498,Mercedes-Benz,0
Honda Civic,Września,Diesel,2018,69900,70000,,Honda,Civic
Volvo V60,Kraków,Diesel,2021,149900,31722,1969,Volvo,V60
BMW Seria 4,Ciemne,Benzyna,2016,54900,60013,2993,BMW,Seria 4
Mazda 3 1.6 Exclusive,Ignatki-Osiedle,Benzyna+LPG,2012,31900,146000,1498,Mazda,3
Audi Q3 35 TFSI S Line S tronic,Wysogotowo,Benzyna,2022,92398,15000,1969,Audi,Q3
Nissan Qashqai 1.2 DIG-T N-Connecta Xtronic,Wysogotowo,Benzyna,2018,43800,70200,1498,Nissan,Qashqai
Skoda Kamiq 1.5 TSI Ambition,Wysogotowo,Benzyna,2021,38400,29854,1968,Skoda,Kamiq
Peugeot 308,Wieliczka,Diesel,2009,7000,240000,1248,Peugeot,308
Opel Meriva 1.3 CDTI Cosmo,Sochaczew,Diesel,2009,11900,185000,4395,Opel,Meriva
Toyota Celica 1.6 STi,Andrychów,Benzyna,1991,9900,264000,1598,Toyota,Celica
Fiat Bravo 1.6 Multijet 16V Active,Lesznowola,Diesel,2014,21800,253746,1796,Fiat,Bravo
Opel Signum,Płock,Benzyna+LPG,2006,4900,251506,,Opel,Signum
Nissan Primera 2.0 Comfort High,Nowy Tomyśl,Benzyna+LPG,1999,2600,323000,1998,Nissan,Primera
Dacia Spring,Września,Elektryczny,2021,69900,7000,,Dacia,0
Volkswagen Golf IV 1.4 Basis,Orzech,Benzyna+LPG,1998,3200,184000,1390,Volkswagen,Golf
BMW Seria 3 320d,Głogów,Diesel,2007,23599,275400,1995,BMW,Seria 3
Skoda RAPID,Nadarzyn,Diesel,2014,28900,183696,1598,Skoda,0
BMW Seria 4,Ciemne,Benzyna,2016,54900,60013,1969,BMW,Seria 4
BMW Seria 5 520d,Kraków,Diesel,2015,69900,157281,1998,BMW,Seria 5
Volvo V50,Wrocław,Diesel,2008,16500,170000,479,Volvo,V50
Aixam City,Wrocław,Diesel,2020,53900,4607,1328,Pozostałe,0
Mazda 3 1.6 Exclusive,Ignatki-Osiedle,Benzyna+LPG,2012,31900,146000,,Mazda,3
DS Automobiles DS 7 Crossback,Warszawa,Hybryda,2022,242900,10500,1598,DS,0
