marka,model,pojemnosc.skokowa.silnika,rodzaj.paliwa,rodzaj.pierwszego.paliwa.alternatywnego,data.pierwszej.rejestracji,data.pierwszej.rejestracji.w.kraju,data.ostatniej.rejestracji.w.kraju,data.wprowadzenia.danych,rejestracja.wojewodztwo,rejestracja.gmina,rejestracja.powiat,moc.netto.silnika,masa.wlasna,poziom.emisji.co2,srednie.zuzycie.paliwa,rok_produkcji
AUDI,A4 AVANT,1968,OLEJ NAPĘDOWY,"",2016-12-20,2019-02-15,2023-06-29,"",ZACHODNIOPOMORSKIE,KOSZALIN,KOSZALIN,140,1690,,,2016
BMW,320D,1995,OLEJ NAPĘDOWY,"",2019-02-15,2019-02-15,2023-06-06,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,140,1715,,,2019
PORSCHE,CAYENNE,4806,BENZYNA,"",2007-02-15,2019-02-15,2023-07-03,"",ZACHODNIOPOMORSKIE,KAMIEŃ POMORSKI,KAMIEŃSKI,368,2430,,,2007
SUZUKI,ALTO,996,BENZYNA,"",2011-06-30,2019-02-15,2023-06-15,"",ZACHODNIOPOMORSKIE,STARGARD,STARGARDZKI,50,930,,,2011
FIAT,FREEMONT,1956,OLEJ NAPĘDOWY,"",2013-10-10,2019-02-18,2023-06-12,"",ZACHODNIOPOMORSKIE,KAMIEŃ POMORSKI,KAMIEŃSKI,125,2044,,,2013
NISSAN,TERRANO,2664,OLEJ NAPĘDOWY,"",1998-02-27,2019-02-18,2023-06-22,"",ZACHODNIOPOMORSKIE,DRAWSKO POMORSKIE,DRAWSKI,92,1950,,,1998
CITROEN,DS4,1560,OLEJ NAPĘDOWY,"",2013-03-27,2019-02-20,2023-06-05,"",ZACHODNIOPOMORSKIE,KOŁOBRZEG,KOŁOBRZESKI,85,1375,,,2013
VOLKSWAGEN,GOLF,1598,OLEJ NAPĘDOWY,"",2019-02-20,2019-02-20,2023-06-05,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,85,1386,113,,2018
KIA,CEED,1598,OLEJ NAPĘDOWY,"",2019-02-20,2019-02-20,2023-06-28,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,85,1313,100,,2018
BMW,Z4 SDRIVE30I,1998,BENZYNA,"",2019-02-21,2019-02-21,2023-06-02,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,190,1415,138,,2019
NISSAN,JUKE,1598,BENZYNA,"",2019-02-22,2019-02-22,2023-06-20,"",ZACHODNIOPOMORSKIE,ŚWINOUJŚCIE,ŚWINOUJŚCIE,83,1203,149,,2018
TOYOTA,COROLLA,1598,BENZYNA,"",2019-02-25,2019-02-25,2023-07-07,"",ZACHODNIOPOMORSKIE,PYRZYCE,PYRZYCKI,97,1291,139,8,2018
VOLVO,XC40,1969,BENZYNA,"",2019-02-25,2019-02-25,2023-06-07,"",ZACHODNIOPOMORSKIE,ŚWINOUJŚCIE,ŚWINOUJŚCIE,140,1608,154,,2019
JEEP,COMPASS,1956,OLEJ NAPĘDOWY,"",2019-02-27,2019-02-27,2023-06-19,"",ZACHODNIOPOMORSKIE,GRYFINO,GRYFIŃSKI,103,1540,148,,2018
BMW,320D,1995,OLEJ NAPĘDOWY,"",2007-04-12,2019-02-27,2023-07-05,"",ZACHODNIOPOMORSKIE,GRYFICE,GRYFICKI,120,1580,,,2007
CHEVROLET,TRAILBLAZER,4195,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2001-01-01,2019-02-27,2023-06-29,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,205,2004,,,2001
FORD,TRANSIT CUSTOM,1995,OLEJ NAPĘDOWY,"",2019-02-28,2019-02-28,2023-06-14,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,96,2055,238,,2019
CITROEN,C3 AIRCROSS,1199,BENZYNA,"",2019-02-28,2019-02-28,2023-06-13,"",ZACHODNIOPOMORSKIE,MYŚLIBÓRZ,MYŚLIBORSKI,81,1203,,,2018
FORD,FIESTA,1299,BENZYNA,"",2005-05-26,2019-02-28,2023-07-06,"",ZACHODNIOPOMORSKIE,SZCZECINEK,SZCZECINECKI,51,1112,,,2005
BMW,320,1995,OLEJ NAPĘDOWY,"",2007-04-02,2019-02-28,2023-06-16,"",ZACHODNIOPOMORSKIE,POLICE,POLICKI,120,1565,,,2007
FIAT,TIPO,1368,BENZYNA,NIE DOTYCZY,2019-02-28,2019-02-28,2023-06-27,"",ZACHODNIOPOMORSKIE,KOSZALIN,KOSZALIN,70,1195,132,,2018
KIA,CEE'D 1.6 CRDI,1582,OLEJ NAPĘDOWY,"",2011-05-26,2019-03-01,2023-06-01,"",ZACHODNIOPOMORSKIE,ŚWIDWIN,ŚWIDWIŃSKI,85,1461,,,2011
OPEL,MERIVA-A 1.4 KAT,1364,BENZYNA,"",2006-04-27,2019-03-01,2023-06-02,"",ZACHODNIOPOMORSKIE,KOSZALIN,KOSZALIN,66,1330,,,2006
HYUNDAI,TUCSON,1591,BENZYNA,"",2019-03-01,2019-03-01,2023-06-09,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,97,1448,183,,2019
SKODA,OCTAVIA,1968,OLEJ NAPĘDOWY,"",2019-03-04,2019-03-04,2023-06-30,"",ZACHODNIOPOMORSKIE,STARGARD,STARGARDZKI,110,1414,,,2018
CITROEN,DS4,1997,OLEJ NAPĘDOWY,NIE DOTYCZY,2014-06-04,2019-03-04,2023-06-16,"",ZACHODNIOPOMORSKIE,GRYFICE,GRYFICKI,120,1430,,,2014
NISSAN,QASHQAI,1332,BENZYNA,"",2019-03-05,2019-03-05,2023-06-28,"",ZACHODNIOPOMORSKIE,KAMIEŃ POMORSKI,KAMIEŃSKI,117,1300,130,,2018
MERCEDES-BENZ,AMG GLA 45,1991,BENZYNA,"",2019-03-07,2019-03-07,2023-06-19,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,280,1540,190,,2018
BMW,320I,2171,BENZYNA,"",2001-03-09,2019-03-13,2023-06-13,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,125,1540,,,2001
DACIA,DUSTER,1598,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2019-03-15,2019-03-15,2023-06-19,"",ZACHODNIOPOMORSKIE,MYŚLIBÓRZ,MYŚLIBORSKI,84,1280,156,8,2019
CITROEN,C2,1124,BENZYNA,"",2006-04-12,2019-03-15,2023-06-19,"",ZACHODNIOPOMORSKIE,DRAWSKO POMORSKIE,DRAWSKI,,956,138,,2006
VOLKSWAGEN,CADDY,1968,OLEJ NAPĘDOWY,"",2019-03-18,2019-03-18,2023-06-20,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,110,1678,168,,2019
VOLKSWAGEN,PASSAT,1968,OLEJ NAPĘDOWY,NIE DOTYCZY,2007-01-26,2019-03-19,2023-06-23,"",ZACHODNIOPOMORSKIE,ŚWIDWIN,ŚWIDWIŃSKI,103,1585,,,2006
MERCEDES-BENZ,S 350 BLUETEC,2987,OLEJ NAPĘDOWY,"",2015-04-14,2019-03-19,2023-06-23,"",ZACHODNIOPOMORSKIE,STARGARD,STARGARDZKI,190,1975,,,2015
FIAT,500,1368,BENZYNA,"",2008-08-13,2019-03-21,2023-06-13,"",ZACHODNIOPOMORSKIE,BIAŁOGARD,BIAŁOGARDZKI,74,1005,,,2008
OPEL,ASTRA GTC,1956,OLEJ NAPĘDOWY,NIE DOTYCZY,2011-12-07,2019-03-22,2023-06-16,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,121,1613,,,2011
BMW,525 D,2993,OLEJ NAPĘDOWY,"",2008-06-13,2019-03-22,2023-06-29,"",ZACHODNIOPOMORSKIE,KOSZALIN,KOSZALIN,145,1765,,,2008
BMW,X4 M40D,2993,OLEJ NAPĘDOWY,"",2019-03-22,2019-03-22,2023-06-29,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,240,1895,169,,2019
CHRYSLER,TOWN AND COUNTRY,3605,BENZYNA,"",2013-01-01,2019-03-25,2023-07-04,"",ZACHODNIOPOMORSKIE,GOLENIÓW,GOLENIOWSKI,208,1969,,,2013
MAZDA,6,1798,BENZYNA,"",2006-01-30,2019-03-26,2023-06-12,"",ZACHODNIOPOMORSKIE,GRYFICE,GRYFICKI,88,1435,,,2005
AUDI,A4 2.0 TDI AVANT,1968,OLEJ NAPĘDOWY,"",2008-08-01,2019-03-26,2023-07-03,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,105,1595,,,2008
HONDA,CIVIC 5DR,1498,BENZYNA,"",2019-03-27,2019-03-27,2023-06-20,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,134,1304,133,,2019
KIA,PROCEED,1591,BENZYNA,"",2019-03-28,2019-03-28,2023-06-06,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,150,1363,142,,2019
BMW,525 D,2497,OLEJ NAPĘDOWY,"",2002-11-14,2019-04-02,2023-06-19,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,120,1790,,,2002
SKODA,CITIGO,999,BENZYNA,"",2019-04-02,2019-04-02,2023-06-06,"",ZACHODNIOPOMORSKIE,KOSZALIN,KOSZALIN,55,936,112,,2018
VOLKSWAGEN,PASSAT,1968,OLEJ NAPĘDOWY,"",2019-04-02,2019-04-02,2023-06-06,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,110,1574,132,5,2019
BMW,320I,1998,BENZYNA,"",2019-04-03,2019-04-03,2023-06-07,"",ZACHODNIOPOMORSKIE,KOŁOBRZEG,KOŁOBRZESKI,135,1450,144,,2019
VOLKSWAGEN,PASSAT,1896,OLEJ NAPĘDOWY,"",2003-11-12,2019-04-03,2023-06-26,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,96,1571,,,2003
BMW,X3,2993,OLEJ NAPĘDOWY,"",2004-06-17,2019-04-04,2023-06-26,"",ZACHODNIOPOMORSKIE,GRYFICE,GRYFICKI,150,1930,,,2004
RENAULT,MEGANE SCENIC,1598,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2003-09-05,2019-04-05,2023-06-05,"",ZACHODNIOPOMORSKIE,KOSZALIN,KOSZALIN,83,1395,,,2003
HYUNDAI,I20,1248,BENZYNA,"",2010-06-08,2019-04-05,2023-06-19,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,57,1045,,,2010
AUDI,A4,2496,OLEJ NAPĘDOWY,"",2006-02-15,2019-04-08,2023-07-07,"",ZACHODNIOPOMORSKIE,GRYFICE,GRYFICKI,120,1665,,,2006
HONDA,CR-V,1997,BENZYNA,"",2008-05-09,2019-04-08,2023-06-06,"",ZACHODNIOPOMORSKIE,SZCZECINEK,SZCZECINECKI,110,1610,,,2008
SUBARU,BRZ,1998,BENZYNA,"",2017-01-01,2019-04-08,2023-06-19,"",ZACHODNIOPOMORSKIE,KOSZALIN,KOSZALIN,147,1243,,,2016
VOLKSWAGEN,JETTA,1595,BENZYNA,"",2010-01-08,2019-04-09,2023-06-15,"",ZACHODNIOPOMORSKIE,STARGARD,STARGARDZKI,75,1343,,,2009
VOLKSWAGEN,POLO,1598,OLEJ NAPĘDOWY,"",2010-04-08,2019-04-10,2023-06-14,"",ZACHODNIOPOMORSKIE,KOSZALIN,KOSZALIN,55,1157,,,2010
VOLKSWAGEN,PASSAT,1968,OLEJ NAPĘDOWY,"",2019-04-10,2019-04-10,2023-06-12,"",ZACHODNIOPOMORSKIE,SZCZECINEK,SZCZECINECKI,110,1518,128,,2019
OPEL,CORSA-E,1398,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2019-04-11,2019-04-11,2023-06-07,"",ZACHODNIOPOMORSKIE,GOLENIÓW,GOLENIOWSKI,66,1196,149,,2019
VOLVO,XC60,1969,BENZYNA,"",2019-04-12,2019-04-12,2023-06-30,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,184,1861,173,,2019
DAIMLERCHRYSLER,C 180,1998,BENZYNA,"",2002-04-09,2019-04-15,2023-06-28,"",ZACHODNIOPOMORSKIE,ŚWIDWIN,ŚWIDWIŃSKI,95,1455,,,2002
LEXUS,GS300,1998,BENZYNA,"",2019-04-15,2019-04-15,2023-06-20,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,180,1679,183,,2018
MAZDA,MAZDA CX-3,1998,BENZYNA,"",2019-04-16,2019-04-16,2023-07-06,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,110,1292,,,2019
VOLKSWAGEN,KOMBI,1968,OLEJ NAPĘDOWY,"",2019-04-16,2019-04-16,2023-06-29,"",ZACHODNIOPOMORSKIE,KOSZALIN,KOSZALIN,110,2137,204,,2019
MINI,ONE,1598,BENZYNA,"",2011-09-01,2019-04-17,2023-06-23,"",ZACHODNIOPOMORSKIE,POLICE,POLICKI,55,1070,,,2011
DACIA,DUSTER,1598,BENZYNA,"",2019-04-17,2019-04-17,2023-06-30,"",ZACHODNIOPOMORSKIE,MYŚLIBÓRZ,MYŚLIBORSKI,84,1239,173,,2019
SKODA,FABIA COMBI,1422,OLEJ NAPĘDOWY,"",2007-08-08,2019-04-17,2023-06-01,"",ZACHODNIOPOMORSKIE,ŚWINOUJŚCIE,ŚWINOUJŚCIE,59,1165,120,,2007
OPEL,MERIVA,1364,BENZYNA,"",2010-06-10,2019-04-18,2023-06-07,"",ZACHODNIOPOMORSKIE,DRAWSKO POMORSKIE,DRAWSKI,88,1393,,,2010
TOYOTA,COROLLA,1598,BENZYNA,"",2019-04-19,2019-04-19,2023-06-30,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,97,1279,139,8,2018
FIAT,TIPO,1368,BENZYNA,"",2019-04-19,2019-04-19,2023-06-19,"",ZACHODNIOPOMORSKIE,KOSZALIN,KOSZALIN,70,1195,155,,2019
DACIA,LODGY,1598,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2019-04-19,2019-04-19,2023-06-14,"",ZACHODNIOPOMORSKIE,KOSZALIN,KOSZALIN,80,1280,159,7,2019
FORD,FOCUS,999,BENZYNA,NIE DOTYCZY,2019-04-19,2019-04-19,2023-06-22,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,92,1247,,,2019
TOYOTA,C-HR,1197,BENZYNA,"",2019-04-24,2019-04-24,2023-06-06,"",ZACHODNIOPOMORSKIE,PYRZYCE,PYRZYCKI,85,1384,152,,2018
FIAT,500,1242,BENZYNA,"",2019-04-24,2019-04-24,2023-06-27,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,51,975,140,,2019
FIAT,ULYSSE,1997,OLEJ NAPĘDOWY,"",2004-07-02,2019-04-24,2023-06-09,"",ZACHODNIOPOMORSKIE,DRAWSKO POMORSKIE,DRAWSKI,96,1743,,,2004
OPEL,CROSSLAND X,1199,BENZYNA,"",2019-04-25,2019-04-25,2023-06-21,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,81,1231,135,,2019
BMW I,I3,,ENERGIA ELEKTRYCZNA,"",2019-04-25,2019-04-25,2023-07-07,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,125,1245,,,2018
AUDI,Q7,2967,OLEJ NAPĘDOWY,"",2008-10-28,2019-04-26,2023-06-22,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,176,2370,,,2008
SAAB,9-3,1910,OLEJ NAPĘDOWY,NIE DOTYCZY,2010-10-28,2019-04-26,2023-06-22,"",ZACHODNIOPOMORSKIE,KOSZALIN,KOSZALIN,132,1665,,,2009
KIA,CEED,1396,OLEJ NAPĘDOWY,"",2008-02-18,2019-04-26,2023-06-02,"",ZACHODNIOPOMORSKIE,KOSZALIN,KOSZALIN,80,1399,,,2008
TOYOTA,AYGO,998,BENZYNA,"",2019-04-29,2019-04-29,2023-07-04,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,53,875,108,,2019
TOYOTA,TOYOTA AYGO,998,BENZYNA,"",2019-04-29,2019-04-29,2023-06-20,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,53,875,108,,2019
FORD,FOCUS,1596,BENZYNA,"",2008-09-19,2019-04-30,2023-07-04,"",ZACHODNIOPOMORSKIE,SZCZECINEK,SZCZECINECKI,74,1152,159,,2008
AUDI,A4,1896,OLEJ NAPĘDOWY,"",2004-10-10,2019-05-06,2023-06-19,"",ZACHODNIOPOMORSKIE,KOŁOBRZEG,KOŁOBRZESKI,96,1578,,,2004
LEXUS,UX250H,1987,BENZYNA,ENERGIA ELEKTRYCZNA,2019-05-06,2019-05-06,2023-07-07,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,112,1569,120,,2019
BMW,318D,1995,OLEJ NAPĘDOWY,"",2019-05-06,2019-05-06,2023-06-19,"",ZACHODNIOPOMORSKIE,MYŚLIBÓRZ,MYŚLIBORSKI,110,1570,114,,2018
VOLVO,S60,1969,BENZYNA,"",2019-05-07,2019-05-07,2023-06-12,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,184,1669,161,,2019
MAZDA,CX-5,1998,BENZYNA,"",2019-05-07,2019-05-07,2023-06-23,"",ZACHODNIOPOMORSKIE,STARGARD,STARGARDZKI,121,1515,,,2019
OPEL,VECTRA,1910,OLEJ NAPĘDOWY,"",2007-05-10,2019-05-07,2023-07-03,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,110,1600,,,2007
VOLKSWAGEN,PASSAT,1968,OLEJ NAPĘDOWY,"",2008-09-19,2019-05-08,2023-06-02,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,103,1572,,,2008
FIAT,TIPO,1368,BENZYNA,"",2019-05-08,2019-05-08,2023-06-22,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,70,1195,,,2019
AUDI,A6 LIMOUSINE,1968,OLEJ NAPĘDOWY,"",2019-05-08,2019-05-08,2023-07-05,"",ZACHODNIOPOMORSKIE,ŚWINOUJŚCIE,ŚWINOUJŚCIE,150,1796,139,,2019
FORD,FOCUS,1560,OLEJ NAPĘDOWY,"",2009-06-22,2019-05-09,2023-06-12,"",ZACHODNIOPOMORSKIE,POLICE,POLICKI,80,1391,,,2009
SKODA,OCTAVIA,1498,BENZYNA,"",2019-05-09,2019-05-09,2023-07-03,"",ZACHODNIOPOMORSKIE,KOŁOBRZEG,KOŁOBRZESKI,110,1274,124,,2018
PEUGEOT,207,1598,BENZYNA,"",2007-11-29,2019-05-09,2023-06-16,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,88,1427,,,2007
SUZUKI,GRAND VITARA,1997,OLEJ NAPĘDOWY,"",2004-06-23,2019-05-10,2023-06-09,"",ZACHODNIOPOMORSKIE,DRAWSKO POMORSKIE,DRAWSKI,80,1450,,,2004
BMW,118I,1995,BENZYNA,"",2009-07-13,2019-05-13,2023-06-09,"",ZACHODNIOPOMORSKIE,SZCZECINEK,SZCZECINECKI,90,1350,,,2009
NISSAN,GT-R,3799,BENZYNA,"",2019-05-14,2019-05-14,2023-06-12,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,441,1660,300,,2019
AUDI,A3,1896,OLEJ NAPĘDOWY,"",2003-07-27,2019-05-15,2023-07-06,"",ZACHODNIOPOMORSKIE,ŚWIDWIN,ŚWIDWIŃSKI,77,1370,,,2003
ALFA ROMEO,STELVIO,1995,BENZYNA,"",2019-05-15,2019-05-15,2023-07-06,"",ZACHODNIOPOMORSKIE,KOSZALIN,KOSZALIN,148,1660,207,,2018
AUDI,A4 AVANT,1968,OLEJ NAPĘDOWY,"",2016-03-07,2019-05-16,2023-06-02,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,110,1600,,,2016
TOYOTA,TOYOTA COROLLA,1798,BENZYNA,"",2019-05-17,2019-05-17,2023-06-19,"",ZACHODNIOPOMORSKIE,MYŚLIBÓRZ,MYŚLIBORSKI,72,1402,87,,2019
PEUGEOT,RIFTER,1199,BENZYNA,"",2019-05-20,2019-05-20,2023-07-05,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,81,1387,150,,2019
FIAT,BRAVO,1368,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2008-09-25,2019-05-20,2023-06-26,"",ZACHODNIOPOMORSKIE,KOSZALIN,KOSZALIN,88,1335,,,2008
HYUNDAI,GETZ,1086,BENZYNA,"",2005-01-14,2019-05-20,2023-06-28,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,46,1024,,,2004
BMW,318D,1995,OLEJ NAPĘDOWY,"",2014-01-06,2019-05-20,2023-07-05,"",ZACHODNIOPOMORSKIE,KOŁOBRZEG,KOŁOBRZESKI,105,1560,,,2014
CITROEN,JUMPY SPACE TOURER,1997,OLEJ NAPĘDOWY,"",2019-05-22,2019-05-22,2023-06-07,"",ZACHODNIOPOMORSKIE,STARGARD,STARGARDZKI,110,1759,,,2018
NISSAN,X-TRAIL,2184,OLEJ NAPĘDOWY,"",2006-01-09,2019-05-22,2023-06-30,"",ZACHODNIOPOMORSKIE,KOŁOBRZEG,KOŁOBRZESKI,100,1525,203,,2005
BMW,X5 XDRIVE30D,2993,OLEJ NAPĘDOWY,"",2019-05-23,2019-05-23,2023-06-28,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,195,2110,155,,2019
OPEL,INSIGNIA SPORTS TOURER,1598,BENZYNA,NIE DOTYCZY,2009-07-16,2019-05-23,2023-06-15,"",ZACHODNIOPOMORSKIE,KOŁOBRZEG,KOŁOBRZESKI,132,1660,,,2009
PEUGEOT,3008,1598,BENZYNA,"",2019-05-23,2019-05-23,2023-06-14,"",ZACHODNIOPOMORSKIE,KOSZALIN,KOSZALIN,133,1430,,,2018
BMW,318I,1995,BENZYNA,"",2003-10-16,2019-05-24,2023-06-30,"",ZACHODNIOPOMORSKIE,KAMIEŃ POMORSKI,KAMIEŃSKI,105,1475,,,2003
JEEP,GRAND CHEROKEE,3956,BENZYNA,"",1996-02-16,2019-05-24,2023-06-12,"",ZACHODNIOPOMORSKIE,POLICE,POLICKI,142,1735,,,1996
KIA,CEED,1353,BENZYNA,"",2019-05-27,2019-05-27,2023-06-13,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,103,1240,132,,2019
AUDI,A4 LIMOUSINE,1984,BENZYNA,ENERGIA ELEKTRYCZNA,2019-05-27,2019-05-27,2023-06-01,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,180,1580,,,2019
BMW,X2 XDRIVE20D,1995,OLEJ NAPĘDOWY,"",2019-05-27,2019-05-27,2023-07-07,"",ZACHODNIOPOMORSKIE,STARGARD,STARGARDZKI,140,1600,,,2018
FORD,TOURNEO COURIER,1499,OLEJ NAPĘDOWY,NIE DOTYCZY,2019-05-27,2019-05-27,2023-06-07,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,,1267,138,,2019
VOLKSWAGEN,POLO,999,BENZYNA,"",2019-05-27,2019-05-27,2023-06-27,"",ZACHODNIOPOMORSKIE,POLICE,POLICKI,59,1100,123,,2019
TOYOTA,COROLLA,1197,BENZYNA,"",2019-05-28,2019-05-28,2023-06-14,"",ZACHODNIOPOMORSKIE,KOSZALIN,KOSZALIN,85,1333,135,,2019
PEUGEOT,EXPERT TRAVELLER,1997,OLEJ NAPĘDOWY,"",2019-05-28,2019-05-28,2023-07-04,"",ZACHODNIOPOMORSKIE,STARGARD,STARGARDZKI,130,1970,,,2019
HYUNDAI,ELANTRA,1591,BENZYNA,"",2019-05-28,2019-05-28,2023-06-09,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,,1279,150,,2019
JEEP,RENEGADE,1332,BENZYNA,"",2019-05-30,2019-05-30,2023-06-07,"",ZACHODNIOPOMORSKIE,KOSZALIN,KOSZALIN,111,1320,141,,2018
PEUGEOT,308 SW,1560,OLEJ NAPĘDOWY,"",2010-01-13,2019-05-30,2023-06-20,"",ZACHODNIOPOMORSKIE,DRAWSKO POMORSKIE,DRAWSKI,66,1453,,,2009
VOLKSWAGEN,T-ROC,1984,BENZYNA,"",2019-05-30,2019-05-30,2023-06-19,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,140,1479,171,,2019
FORD,FUSION,1399,OLEJ NAPĘDOWY,"",2005-02-23,2019-05-31,2023-06-15,"",ZACHODNIOPOMORSKIE,CHOSZCZNO,CHOSZCZEŃSKI,50,1157,,,2005
HYUNDAI,IX20,1591,BENZYNA,"",2019-06-03,2019-06-03,2023-06-02,"",ZACHODNIOPOMORSKIE,POLICE,POLICKI,,1252,149,,2019
SKODA,SUPERB,1968,OLEJ NAPĘDOWY,"",2019-06-04,2019-06-04,2023-06-13,"",ZACHODNIOPOMORSKIE,MYŚLIBÓRZ,MYŚLIBORSKI,140,1679,150,,2019
FIAT,PUNTO,1242,BENZYNA,"",2008-03-07,2019-06-04,2023-06-05,"",ZACHODNIOPOMORSKIE,KOSZALIN,KOSZALIN,48,1090,,,2007
OPEL,INSIGNIA SPORTS TOURER SW,1956,OLEJ NAPĘDOWY,"",2014-01-30,2019-06-05,2023-06-22,"",ZACHODNIOPOMORSKIE,MYŚLIBÓRZ,MYŚLIBORSKI,103,1741,104,,2013
TOYOTA,RAV4,2487,BENZYNA,ENERGIA ELEKTRYCZNA,2019-06-05,2019-06-05,2023-06-13,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,131,1666,101,,2019
BMW,316TI,1796,BENZYNA,"",2002-12-17,2019-06-06,2023-06-21,"",ZACHODNIOPOMORSKIE,POLICE,POLICKI,85,1375,,,2002
FORD,FOCUS C-MAX,1798,BENZYNA,"",2006-01-27,2019-06-06,2023-06-07,"",ZACHODNIOPOMORSKIE,DRAWSKO POMORSKIE,DRAWSKI,92,1375,,,2005
SKODA,OCTAVIA,1968,OLEJ NAPĘDOWY,"",2019-06-06,2019-06-06,2023-06-15,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,110,1405,129,,2019
CITROEN,C3,1560,OLEJ NAPĘDOWY,"",2018-04-11,2019-06-06,2023-07-03,"",ZACHODNIOPOMORSKIE,KAMIEŃ POMORSKI,KAMIEŃSKI,55,1129,,,2018
SEAT,ATECA,1984,BENZYNA,"",2019-06-06,2019-06-06,2023-06-01,"",ZACHODNIOPOMORSKIE,DRAWSKO POMORSKIE,DRAWSKI,140,1555,171,,2019
OPEL,INSIGNIA,1956,OLEJ NAPĘDOWY,"",2009-11-18,2019-06-07,2023-06-28,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,118,1733,,,2009
SEAT,TARRACO,1968,OLEJ NAPĘDOWY,"",2019-06-07,2019-06-07,2023-06-23,"",ZACHODNIOPOMORSKIE,BIAŁOGARD,BIAŁOGARDZKI,110,1689,,,2019
VOLKSWAGEN,PASSAT,1498,BENZYNA,"",2019-06-07,2019-06-07,2023-07-05,"",ZACHODNIOPOMORSKIE,STARGARD,STARGARDZKI,110,1485,,,2019
TOYOTA,AYGO,998,BENZYNA,"",2009-03-12,2019-06-10,2023-07-03,"",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,50,895,,,2008
MAZDA,PREMACY 2.0 TD,1998,OLEJ NAPĘDOWY,"",2003-05-26,2019-06-10,2023-06-02,"",ZACHODNIOPOMORSKIE,GRYFICE,GRYFICKI,74,1510,,,2003
OPEL,MERIVA-A,1598,BENZYNA,"",2004-08-25,2019-06-10,2023-07-05,"",ZACHODNIOPOMORSKIE,KOSZALIN,KOSZALIN,74,1375,,,2003
